Code,Description
80526,Culture test evaluation
15677,Repair of arm using laparoscope
10566,Suturing of ear using stent
10077,Repair of arm using catheter
14895,Suturing of heart using stent
14989,Suturing of abdomen using endoscope
12064,Suturing of skin using stent
10923,Excision of heart using laser
13913,Suturing of chest using laparoscope
90507,Consultation - follow-up visit
70706,Ultrasound of chest with contrast
11151,Excision of knee using catheter
11319,Suturing of heart using laser
80065,DNA screening evaluation
13270,Drainage of spine using endoscope
80336,Tissue analysis evaluation
15698,Drainage of spine using laparoscope
11531,Suturing of pelvis using catheter
70771,Ultrasound of ear with contrast
90759,Therapy session - routine check
10212,Drainage of knee using endoscope
10239,Excision of leg using stent
90740,Therapy session - follow-up visit
12731,Suturing of brain using stent
13993,Drainage of abdomen using stent
16225,Suturing of chest using laser
12813,Biopsy of neck using endoscope
15406,Repair of kidney using catheter
90347,Physical exam - follow-up visit
70151,X-ray of neck with contrast
16658,Repair of liver using stent
11042,Excision of arm using stent
12231,Repair of arm using laparoscope
11580,Drainage of abdomen using scalpel
10402,Suturing of pelvis using scalpel
12259,Reconstruction of ear using laparoscope
10873,Suturing of abdomen using endoscope
12724,Repair of brain using scalpel
90369,Consultation - routine check
10922,Suturing of spine using stent
14518,Biopsy of eye using endoscope
15809,Reconstruction of neck using catheter
10030,Drainage of eye using catheter
13885,Repair of liver using laser
10218,Biopsy of knee using endoscope
11613,Excision of kidney using laparoscope
14255,Reconstruction of leg using laser
12772,Drainage of ear using scalpel
15026,Biopsy of neck using endoscope
80106,DNA screening evaluation
11829,Excision of chest using endoscope
90477,Consultation - preventive screening
91019,Vaccination - follow-up visit
11625,Biopsy of arm using catheter
80488,DNA screening evaluation
80549,Blood test evaluation
91156,Vaccination - routine check
70954,CT scan of chest with contrast
80668,Tissue analysis evaluation
15416,Suturing of leg using laparoscope
12903,Suturing of heart using catheter
00122,General anesthesia for lungs surgery
80086,DNA screening evaluation
90320,Therapy session - preventive screening
00167,Sedation for ear surgery
10489,Excision of neck using endoscope
11786,Reconstruction of ear using endoscope
13153,Biopsy of knee using laparoscope
12250,Drainage of leg using laparoscope
11215,Repair of arm using laser
91200,Consultation - routine check
14788,Repair of lungs using scalpel
90674,Consultation - follow-up visit
81065,Blood test evaluation
13514,Excision of leg using laser
15513,Biopsy of abdomen using endoscope
13143,Biopsy of knee using scalpel
13834,Biopsy of lungs using endoscope
70072,MRI scan of liver with contrast
11266,Biopsy of liver using scalpel
14232,Suturing of skin using laparoscope
15739,Repair of arm using laser
11046,Drainage of ear using stent
14872,Repair of knee using laser
13384,Drainage of pelvis using endoscope
16074,Excision of brain using stent
15652,Excision of pelvis using laparoscope
10767,Repair of liver using laser
90518,Physical exam - routine check
14139,Reconstruction of pelvis using stent
15721,Excision of liver using endoscope
80565,DNA screening evaluation
11447,Excision of ear using scalpel
70261,CT scan of eye with contrast
90861,Vaccination - preventive screening
12799,Biopsy of brain using laparoscope
11041,Reconstruction of abdomen using laser
11398,Biopsy of abdomen using laser
15474,Reconstruction of skin using endoscope
70249,MRI scan of brain with contrast
90624,Consultation - routine check
10747,Biopsy of heart using catheter
80404,Culture test evaluation
80190,DNA screening evaluation
91129,Vaccination - follow-up visit
11222,Suturing of knee using laparoscope
71013,X-ray of spine with contrast
15522,Suturing of kidney using endoscope
13660,Excision of neck using catheter
70316,Fluoroscopy of leg with contrast
90486,Physical exam - preventive screening
14961,Repair of heart using catheter
90632,Consultation - follow-up visit
10033,Reconstruction of heart using scalpel
80262,DNA screening evaluation
14946,Repair of pelvis using catheter
13940,Biopsy of leg using endoscope
70732,Fluoroscopy of leg with contrast
14478,Repair of spine using laser
80960,Tissue analysis evaluation
16509,Drainage of eye using endoscope
16476,Reconstruction of knee using endoscope
14552,Excision of pelvis using laser
12543,Biopsy of kidney using laser
80881,Tissue analysis evaluation
80080,DNA screening evaluation
